2023-09-08 23:19:53,000 INFO    MainThread:18816 [wandb_setup.py:_flush():76] Current SDK version is 0.15.9
2023-09-08 23:19:53,001 INFO    MainThread:18816 [wandb_setup.py:_flush():76] Configure stats pid to 18816
2023-09-08 23:19:53,001 INFO    MainThread:18816 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2023-09-08 23:19:53,001 INFO    MainThread:18816 [wandb_setup.py:_flush():76] Loading settings from /root/BitFlip/DQNwithGOAL/outputs/2023-09-08/23-19-51/wandb/settings
2023-09-08 23:19:53,001 INFO    MainThread:18816 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-09-08 23:19:53,001 INFO    MainThread:18816 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-09-08 23:19:53,001 INFO    MainThread:18816 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'DQNwithGOAL/main.py', 'program': '/root/BitFlip/DQNwithGOAL/main.py'}
2023-09-08 23:19:53,001 INFO    MainThread:18816 [wandb_init.py:_log_setup():524] Logging user logs to /root/BitFlip/DQNwithGOAL/outputs/2023-09-08/23-19-51/wandb/run-20230908_231952-vpfw8lcg/logs/debug.log
2023-09-08 23:19:53,002 INFO    MainThread:18816 [wandb_init.py:_log_setup():525] Logging internal logs to /root/BitFlip/DQNwithGOAL/outputs/2023-09-08/23-19-51/wandb/run-20230908_231952-vpfw8lcg/logs/debug-internal.log
2023-09-08 23:19:53,002 INFO    MainThread:18816 [wandb_init.py:init():564] calling init triggers
2023-09-08 23:19:53,002 INFO    MainThread:18816 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'exp_name': 'dqn_g_e_1e-1_length_16_eucli', 'use_wandb': True, 'model_name': 'dqn_with_goal', 'length': 16, 'lr': 0.001, 'num_episodes': 30000, 'hidden_dim': 128, 'gamma': 0.99, 'target_update': 50, 'buffer_size': 10000, 'batch_size': 64, 'model_save_dir': 'save_model', 'max_steps': 100, 'eval': False, 'log_frequency': 500, 'minimal_size': 64, 'env_reward_type': 'euclidean', 'policy_type': 'goal', 'minimal_epsilon': 0.1, 'epsilon': 0.1, 'delta_epsilon': 1e-05, 'reward_success': 0, 'reward_fail': -1, 'step_is_fast': False}
2023-09-08 23:19:53,002 INFO    MainThread:18816 [wandb_init.py:init():613] starting backend
2023-09-08 23:19:53,002 INFO    MainThread:18816 [wandb_init.py:init():617] setting up manager
2023-09-08 23:19:53,005 INFO    MainThread:18816 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-09-08 23:19:53,006 INFO    MainThread:18816 [wandb_init.py:init():623] backend started and connected
2023-09-08 23:19:53,010 INFO    MainThread:18816 [wandb_init.py:init():714] updated telemetry
2023-09-08 23:19:53,040 INFO    MainThread:18816 [wandb_init.py:init():747] communicating run to backend with 60.0 second timeout
2023-09-08 23:19:53,796 INFO    MainThread:18816 [wandb_run.py:_on_init():2180] communicating current version
2023-09-08 23:19:54,272 INFO    MainThread:18816 [wandb_run.py:_on_init():2189] got version response upgrade_message: "wandb version 0.15.10 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-09-08 23:19:54,272 INFO    MainThread:18816 [wandb_init.py:init():798] starting run threads in backend
2023-09-08 23:19:54,465 INFO    MainThread:18816 [wandb_run.py:_console_start():2159] atexit reg
2023-09-08 23:19:54,466 INFO    MainThread:18816 [wandb_run.py:_redirect():2014] redirect: wrap_raw
2023-09-08 23:19:54,466 INFO    MainThread:18816 [wandb_run.py:_redirect():2079] Wrapping output streams.
2023-09-08 23:19:54,466 INFO    MainThread:18816 [wandb_run.py:_redirect():2104] Redirects installed.
2023-09-08 23:19:54,468 INFO    MainThread:18816 [wandb_init.py:init():839] run started, returning control to user process
