2023-09-06 19:28:04,023 INFO    MainThread:1639 [wandb_setup.py:_flush():76] Current SDK version is 0.15.9
2023-09-06 19:28:04,024 INFO    MainThread:1639 [wandb_setup.py:_flush():76] Configure stats pid to 1639
2023-09-06 19:28:04,024 INFO    MainThread:1639 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2023-09-06 19:28:04,024 INFO    MainThread:1639 [wandb_setup.py:_flush():76] Loading settings from /root/BitFlip/DQNwithHer/outputs/2023-09-06/19-28-02/wandb/settings
2023-09-06 19:28:04,024 INFO    MainThread:1639 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-09-06 19:28:04,024 INFO    MainThread:1639 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-09-06 19:28:04,024 INFO    MainThread:1639 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'DQNwithHer/main.py', 'program': '/root/BitFlip/DQNwithHer/main.py'}
2023-09-06 19:28:04,024 INFO    MainThread:1639 [wandb_init.py:_log_setup():524] Logging user logs to /root/BitFlip/DQNwithHer/outputs/2023-09-06/19-28-02/wandb/run-20230906_192804-8n63ep3k/logs/debug.log
2023-09-06 19:28:04,025 INFO    MainThread:1639 [wandb_init.py:_log_setup():525] Logging internal logs to /root/BitFlip/DQNwithHer/outputs/2023-09-06/19-28-02/wandb/run-20230906_192804-8n63ep3k/logs/debug-internal.log
2023-09-06 19:28:04,025 INFO    MainThread:1639 [wandb_init.py:init():564] calling init triggers
2023-09-06 19:28:04,025 INFO    MainThread:1639 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'exp_name': 'caogao', 'use_wandb': True, 'model_name': 'dqn_with_her', 'length': 25, 'lr': 0.001, 'num_episodes': 30000, 'hidden_dim': 128, 'gamma': 0.99, 'target_update': 50, 'buffer_size': 10000, 'batch_size': 64, 'model_save_dir': 'save_model', 'max_steps': 100, 'eval': False, 'log_frequency': 500, 'minimal_size': 64, 'env_reward_type': 'default', 'policy_type': 'goal', 'minimal_epsilon': 0.1, 'epsilon': 0.9, 'delta_epsilon': 1e-06, 'reward_success': 1, 'reward_fail': -1}
2023-09-06 19:28:04,025 INFO    MainThread:1639 [wandb_init.py:init():613] starting backend
2023-09-06 19:28:04,025 INFO    MainThread:1639 [wandb_init.py:init():617] setting up manager
2023-09-06 19:28:04,027 INFO    MainThread:1639 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-09-06 19:28:04,028 INFO    MainThread:1639 [wandb_init.py:init():623] backend started and connected
2023-09-06 19:28:04,032 INFO    MainThread:1639 [wandb_init.py:init():714] updated telemetry
2023-09-06 19:28:04,051 INFO    MainThread:1639 [wandb_init.py:init():747] communicating run to backend with 60.0 second timeout
2023-09-06 19:28:04,923 INFO    MainThread:1639 [wandb_run.py:_on_init():2180] communicating current version
2023-09-06 19:28:05,891 INFO    MainThread:1639 [wandb_run.py:_on_init():2189] got version response 
2023-09-06 19:28:05,891 INFO    MainThread:1639 [wandb_init.py:init():798] starting run threads in backend
2023-09-06 19:28:06,034 INFO    MainThread:1639 [wandb_run.py:_console_start():2159] atexit reg
2023-09-06 19:28:06,034 INFO    MainThread:1639 [wandb_run.py:_redirect():2014] redirect: wrap_raw
2023-09-06 19:28:06,034 INFO    MainThread:1639 [wandb_run.py:_redirect():2079] Wrapping output streams.
2023-09-06 19:28:06,034 INFO    MainThread:1639 [wandb_run.py:_redirect():2104] Redirects installed.
2023-09-06 19:28:06,035 INFO    MainThread:1639 [wandb_init.py:init():839] run started, returning control to user process
